RTT,FPS,CPU,GPU,Memory
35,30.21556,0,0,0
38.1,29.27559,7.75,38,67.3004
39.39,30.22157,7.75,50,67.2303
40.851,29.91678,7.75,33,67.182
41.9659,30.75124,7.75,35,67.3545
42.96931,30.00258,7.75,49,67.1614
43.77238,29.6601,7.76,50,67.0202
44.49514,29.39033,7.76,34,66.9164
45.24562,29.94482,7.76,43,66.9144
45.92106,29.68624,7.76,52,66.9634
46.42896,30.60513,7.76,50,66.8591
47.08606,29.63008,7.76,33,66.8183
47.57745,29.90646,7.76,47,67.0727
48.11971,29.96542,7.76,50,67.1092
48.50774,30.39016,7.76,35,67.0904
48.85696,30.38725,7.76,37,67.1106
49.17126,29.49042,7.76,49,66.9877
55.85414,30.32374,7.76,48,66.9568
61.96872,30.04865,7.76,36,66.9714
60.87185,29.74789,7.76,43,66.9493
66.58466,30.18959,7.76,52,66.8209
71.6262,30.44391,7.76,36,66.7965
76.16357,29.41186,7.76,36,66.7723
80.24722,29.64732,7.76,51,66.8142
84.02249,30.00454,7.77,51,66.916
87.42024,30.24338,7.77,35,66.934
90.37822,29.50963,7.77,42,66.9078
93.0404,29.1808,7.77,51,66.925
95.43636,30.75791,7.77,33,66.8085
97.59272,30.21622,7.77,35,66.7414
99.53345,30.34303,7.77,49,66.6664
101.2801,30.08002,7.77,52,66.78
102.8521,30.18692,7.77,35,66.7048
104.2669,30.5113,7.77,41,66.8209
105.4402,29.872,7.77,51,66.7171
106.4962,30.23751,7.77,51,66.7055
107.4465,29.89833,7.77,35,66.7695
105.4019,29.46814,7.77,49,66.6978
103.3617,29.61059,7.77,50,66.8038
101.5255,30.01101,7.77,33,66.8941
99.77296,29.43899,7.77,42,66.8369
98.09566,29.97155,7.77,52,66.8796
96.6861,30.17143,7.78,50,66.8409
95.51749,29.85043,7.78,36,66.645
94.36574,30.0018,7.78,48,66.7906
93.32916,30.12936,7.78,50,66.8164
92.39625,30.74605,7.78,35,66.7914
91.65662,29.88934,7.78,38,66.7718
90.89096,30.33144,7.78,51,66.7072
90.20187,30.36322,7.78,51,66.757
89.98167,29.52099,7.78,35,66.8075
89.48351,30.81716,7.78,43,66.9215
89.03516,29.57619,7.78,54,66.9163
88.43164,29.7366,7.78,35,66.9999
87.98847,30.01116,7.78,37,66.8801
87.68962,29.9593,7.78,52,66.9518
87.32066,30.27357,7.78,51,66.9074
86.98859,29.94153,7.78,34,66.7998
86.58973,29.44326,7.78,44,66.7169
86.23075,30.49777,7.78,50,66.8157
86.00768,30.40547,7.78,51,66.7893
85.80691,29.55544,7.78,35,66.7012
85.62621,29.91456,7.79,49,66.7365
85.46359,30.41235,7.79,51,66.6205
85.41723,30.67345,7.79,35,66.5836
85.27551,29.90479,7.79,41,66.5976
85.14795,30.51366,7.79,51,66.6855
84.93315,29.91643,7.79,52,66.8865
84.83984,29.31998,7.79,35,66.943
84.65585,29.76452,7.79,50,66.9828
84.49026,29.76336,7.79,52,66.7623
84.34124,29.85057,7.79,34,66.7613
84.20712,30.05148,7.79,39,66.7543
84.0864,29.55041,7.79,53,66.6168
83.97776,29.64502,7.79,52,66.6255
81.37998,29.84756,7.79,29,66.6765
78.44198,29.53814,7.79,47,66.5795
75.79778,29.48204,7.79,54,66.6046
73.618,29.9837,7.79,33,66.6461
71.45619,29.2197,7.79,41,66.6656
69.51057,29.931,7.8,53,66.625
67.65952,30.0755,7.8,41,66.6426
66.19357,30.23815,7.8,30,66.6315
