RTT,FPS,CPU,GPU,Memory,BatteryStatus,BatteryLevel
35,29.64598,0,0,0,,0
45.1,20.16991,10.77,46,70.071,discharging,95
52.59,21.52472,10.87,93,70.0308,discharging,95
54.231,33.51109,10.92,97,70.1237,discharging,95
59.5079,28.20078,10.97,94,69.7196,discharging,95
61.75711,37.33869,11.04,63,69.7995,discharging,95
60.9814,29.73216,11.08,95,69.6511,discharging,95
64.58325,30.40385,11.13,90,69.7106,discharging,95
66.32493,23.06663,11.19,64,69.752,discharging,95
67.89243,19.42195,11.23,92,70.1072,discharging,95
70.40319,21.24358,11.27,85,70.1326,discharging,95
76.06287,21.1508,11.32,93,70.2408,discharging,95
75.65659,28.9115,11.35,91,70.2616,discharging,95
