RTT,FPS,CPU,GPU,Memory,BatteryWatt,Jitter
60,29.88515,0,0,0,0,60
60,28.13719,5.48,84,33.3469,38.998,60
75.3,44.1082,5.48,84,33.3094,38.998,213
75.3,29.58603,5.5,87,33.2322,38.998,213
78.06999,29.27969,5.51,59,33.008,38.998,103
94.26299,31.49672,5.51,87,33.1202,38.998,240
91.83669,36.80574,5.53,91,33.0913,38.998,70
103.953,29.1125,5.56,83,33.253,38.998,213
110.3577,30.5077,5.57,83,33.3402,38.998,168
132.8219,30.07269,5.59,66,33.2726,38.998,335
153.6398,29.59332,5.61,92,33.2049,38.998,341
150.5758,30.32483,5.65,82,33.2156,38.998,123
155.7182,30.27859,5.68,77,33.1971,38.998,202
160.5464,47.73093,5.7,92,33.1568,38.998,204
156.7917,29.95429,5.72,82,33.1221,38.998,123
168.3126,30.32861,5.72,88,33.0871,38.998,272
158.4813,30.44939,5.75,57,33.0769,38.998,70
180.7332,33.09847,5.78,63,33.143,38.998,381
177.7598,47.46227,5.78,87,33.0761,38.998,151
181.1839,33.05149,5.79,82,33.1385,38.998,212
203.9655,30.42653,5.79,84,33.1635,38.998,409
203.9655,31.0423,5.79,56,33.0999,38.998,409
200.3689,29.26628,5.8,61,33.1141,38.998,168
197.932,37.28748,5.82,86,33.1747,59.6,176
201.6388,31.81314,5.83,77,33.1913,59.6,235
205.3749,32.44748,5.84,76,33.1149,59.6,239
218.7374,29.6776,5.82,88,33.1809,59.6,339
217.1637,25.09129,5.85,61,33.1041,59.6,203
215.5473,30.8187,5.86,70,33.0573,59.6,201
207.6926,30.8563,5.88,93,32.9801,59.6,137
207.2233,32.22551,5.89,63,33.0924,59.6,203
207.2233,32.86802,5.9,89,33.0661,59.6,203
199.601,30.04062,5.97,60,33.0293,59.6,131
199.601,28.39019,5.97,91,33.0921,59.6,131
207.0409,28.89744,5.99,58,33.1266,59.6,274
207.0409,34.7728,6,92,33.1344,59.6,274
191.0368,33.98991,6,85,33.0971,59.6,47
191.0368,29.3475,6.02,88,33.1706,59.6,47
191.0368,20.77282,6.03,63,33.1564,59.6,47
187.4331,32.49988,6.06,84,33.1913,59.6,155
189.3898,33.27573,6.06,59,33.2385,59.6,207
201.1508,33.20324,6.08,91,33.2273,59.6,307
198.5357,27.61144,6.09,59,33.2328,59.6,175
206.0821,28.7097,6.12,84,33.2317,59.6,274
209.4739,29.19983,6.13,92,33.1778,59.6,240
232.3265,27.73614,6.16,66,33.1945,59.6,438
240.5939,32.73013,6.18,83,33.2616,59.6,315
257.1345,29.04933,6.19,60,33.1593,59.6,406
249.021,27.84244,6.2,68,33.2447,59.6,176
248.4189,28.60669,6.21,85,33.0842,59.6,243
234.277,27.55515,6.23,92,33.1808,59.6,107
227.7493,27.41695,6.23,84,33.1824,59.6,169
221.5744,28.67498,6.22,83,33.2131,32.543,166
220.1169,28.10037,6.24,65,33.05,32.543,207
216.7052,27.8818,6.25,87,33.0693,32.543,186
222.3347,29.54334,6.25,85,33.0991,32.543,273
218.0012,32.73518,6.29,86,33.0804,32.543,179
217.0011,28.95991,6.32,59,33.141,32.543,208
216.201,27.52456,6.33,92,33.0911,32.543,209
213.0809,29.16335,6.33,86,33.0911,32.543,185
208.9728,23.21545,6.36,84,33.2831,32.543,172
211.6755,22.74654,6.36,62,33.1579,32.543,236
211.308,26.77005,6.37,72,33.1496,32.543,208
210.6772,31.29224,6.38,90,33.1984,32.543,205
217.3094,28.18028,6.39,64,33.1985,57.079,277
212.4785,29.89669,6.39,87,33.1827,57.079,169
204.9306,35.77459,6.39,61,33.1197,57.079,137
215.1376,31.55896,6.4,82,33.1211,57.079,307
234.4238,27.71334,6.4,64,33.1493,57.079,408
234.7814,33.19699,6.4,84,33.1612,57.079,238
255.6033,32.60354,6.4,58,33.1194,57.079,443
255.6033,29.81869,6.42,92,33.2042,57.079,443
255.6033,31.6986,6.45,41,33.3206,57.079,443
