RTT,FPS,CPU,GPU,Memory,BatteryWatt,Jitter
60,29.5996,20,40,50,22,60
60,31.03998,6.66,62,70.7203,17.926,60
69.1,36.15126,6.68,41,70.785,17.926,151
76.29,30.75004,6.68,88,70.793,17.926,141
90.061,31.86897,6.68,50,70.8515,17.926,214
89.3549,30.50389,6.68,64,70.9258,17.926,83
95.0194,31.10649,6.68,45,71.0929,61.938,146
100.1175,28.10452,6.68,65,70.9941,61.938,146
110.0057,15.03699,6.68,33,70.9982,61.938,199
115.5051,19.43753,6.68,85,70.915,61.938,165
124.5546,27.85703,6.68,89,70.7584,61.938,206
124.5546,30.44047,6.68,44,70.6304,61.938,206
126.8992,30.46883,6.68,75,70.7323,61.938,148
129.0092,30.38797,6.69,50,70.5928,61.938,148
129.0092,38.88828,6.69,71,70.6178,61.938,148
129.0092,30.01194,6.69,52,70.5831,61.938,148
130.8083,30.24888,6.69,72,70.6851,61.938,147
133.7275,22.88526,6.69,36,70.7213,61.938,160
141.6547,27.73334,6.69,90,70.7763,61.938,213
135.2892,29.75685,6.69,49,70.6046,61.938,78
129.7603,31.13212,6.69,52,70.6193,61.938,80
125.2843,25.81918,6.69,86,70.6417,61.938,85
126.7559,28.23926,6.7,60,70.5746,61.938,140
127.9803,36.7856,6.7,84,70.5288,61.938,139
124.4822,28.35347,6.7,85,70.5901,61.938,93
120.234,36.57797,6.7,88,70.646,61.938,82
118.5106,28.27828,6.7,80,70.5472,61.938,103
124.6595,27.97215,6.7,93,70.5916,61.938,180
120.1936,37.09994,6.7,54,70.7552,61.938,80
120.1936,35.1685,6.7,87,70.6008,61.938,80
122.3742,30.79736,6.7,85,70.49,61.938,142
131.5368,36.11691,6.7,91,70.4988,61.938,214
131.5368,30.58955,6.7,85,70.4639,61.938,214
126.5831,30.58009,6.7,92,70.6248,61.938,82
130.7248,31.54428,6.71,51,70.6459,61.938,168
139.3523,37.2245,6.71,86,70.6789,37.812,217
134.6171,30.90967,6.71,76,70.6197,37.812,92
129.1554,30.79612,6.71,91,70.5113,37.812,80
141.5398,30.107,6.71,45,70.6378,37.812,253
145.3858,37.60815,6.71,42,70.6444,37.812,180
141.0473,27.8569,6.71,85,70.6456,37.812,102
141.0473,29.70716,6.71,38,70.6479,37.812,102
138.6425,30.67194,6.72,51,70.6191,37.812,117
136.6783,38.98298,6.72,45,70.5821,37.812,119
136.6783,33.99097,6.72,83,70.5909,37.812,119
134.0104,32.08563,6.72,90,70.5205,37.812,110
131.0094,30.83707,6.72,61,70.6013,37.812,104
131.0094,36.74271,6.72,48,70.7107,37.812,104
128.4084,29.73356,6.72,90,70.7977,37.812,105
151.3676,26.04773,6.72,46,70.7512,37.812,358
148.5308,22.21101,6.72,84,70.6403,37.812,123
167.8777,35.99249,6.72,76,70.6731,37.812,342
162.89,30.89305,6.72,89,70.7296,37.812,118
168.301,30.47955,6.72,42,70.7846,33.424,217
162.9709,28.29661,6.72,75,70.8457,33.424,115
164.4738,36.97141,6.72,51,70.8892,33.424,178
164.4738,18.29897,6.72,88,70.919,33.424,178
165.2264,22.96395,6.72,83,70.7909,33.424,172
156.4038,30.5357,6.73,85,70.7797,33.424,77
159.8634,34.97839,6.73,63,70.6889,33.424,191
154.677,30.55191,6.73,73,70.7126,33.424,108
154.677,30.76229,6.73,82,70.8525,33.424,108
153.9093,31.30766,6.73,51,70.8323,33.424,147
153.3184,43.18214,6.73,83,70.7776,33.424,148
149.4865,23.12908,6.73,62,70.6949,33.424,115
152.7379,30.41186,6.74,90,70.6703,33.424,182
142.5641,28.03921,6.74,48,70.5102,33.424,51
143.2077,36.72939,6.74,78,70.6182,33.424,149
140.3869,28.04698,6.74,85,70.5792,33.424,115
134.5482,30.96041,6.74,94,70.5673,33.424,82
135.9934,37.58407,6.74,51,70.6553,33.424,149
143.394,28.05913,6.74,90,70.6548,33.424,210
137.1546,18.98199,6.74,49,70.6645,33.424,81
147.3392,30.59476,6.74,85,70.6937,33.424,239
147.6053,18.32677,6.75,50,70.5097,33.424,150
155.2447,30.64116,6.75,83,70.5114,33.424,224
148.1202,29.08614,6.75,52,70.5789,33.424,84
148.0082,23.31565,6.75,94,70.6729,33.424,147
143.4074,30.58437,6.75,70,70.6339,33.424,102
147.3666,28.21601,6.75,48,70.5942,33.424,183
140.53,23.09132,6.76,63,70.5137,33.424,79
147.777,30.54077,6.76,85,70.5609,33.424,213
141.2993,30.23822,6.76,92,70.4454,30.248,83
141.9693,30.55755,6.76,50,70.3939,30.248,148
143.0724,31.35995,6.76,90,70.3977,30.248,153
148.2652,28.60872,6.76,49,70.4502,30.248,195
151.5386,30.52761,6.76,50,70.4952,30.248,181
