RTT,FPS,CPU,GPU,Memory,BatteryWatt,Jitter
60,25.73786,0,0,0,0,60
78.3,17.50533,2.22,64,44.6325,16.374,243
84.06999,28.38707,2.22,90,44.6782,16.374,136
97.86299,29.82345,2.22,71,44.6222,16.374,222
107.5767,33.31565,2.23,96,44.4512,16.374,195
121.219,27.25583,2.23,68,44.3217,16.374,244
123.7971,26.86632,2.23,97,44.3,16.374,147
129.4174,27.47261,2.23,74,44.3398,43.678,180
124.8757,27.64915,2.23,97,44.1188,43.678,84
126.9881,26.77098,2.23,70,44.0726,43.678,146
130.3893,27.42363,2.23,96,44.0704,43.678,161
135.1503,34.35163,2.23,68,43.9414,43.678,178
129.8353,32.98295,2.23,97,44.0495,43.678,82
126.1518,34.07355,2.23,60,44.0747,43.678,93
128.5366,26.57684,2.23,97,44.0168,43.678,150
130.2829,35.71758,2.23,70,43.9809,43.588,146
125.7546,32.40546,2.23,97,44.0036,43.588,85
128.0792,27.3294,2.24,68,44.0168,43.588,149
130.0713,27.09029,2.24,97,43.9233,43.588,148
128.2641,34.77103,2.24,69,43.8518,43.588,112
127.5377,35.11505,2.24,96,43.9251,43.588,121
127.5377,26.74037,2.24,69,43.9641,43.588,121
129.5839,28.03046,2.24,97,44.0552,43.588,148
128.0255,34.36869,2.24,69,44.1075,43.588,114
126.323,27.54548,2.24,92,44.03,43.588,111
118.4907,32.67863,2.24,69,44.0139,43.588,48
128.2416,35.25851,2.24,96,44.0328,43.588,216
126.5174,33.76773,2.24,69,44.2069,43.588,111
135.3657,33.95051,2.24,93,44.0712,43.588,215
135.3657,28.05064,2.25,69,44.1774,43.588,215
130.3291,28.07361,2.25,91,44.1936,43.588,85
139.4962,32.95839,2.25,61,44.0751,43.588,222
137.5466,26.52417,2.25,94,44.1525,43.588,120
132.0919,34.05105,2.25,70,44.2448,43.588,83
132.0919,32.71351,2.25,73,44.213,43.588,83
130.9827,33.81445,2.25,67,44.2693,43.588,121
136.2844,27.86686,2.25,79,44.1871,43.588,184
136.2844,32.51937,2.25,36,44.1662,43.588,184
141.456,27.75821,2.25,67,44.0702,43.588,188
142.1104,31.56061,2.26,97,44.0042,43.588,148
133.3994,33.72396,2.26,67,44.1819,43.588,55
131.9594,35.3694,2.26,96,44.0861,43.588,119
130.4635,28.09862,2.26,70,44.0675,43.588,118
130.4635,26.72117,2.26,97,44.0596,44.038,118
122.5171,28.10471,2.26,68,44.0673,44.038,51
118.6654,34.10224,2.26,97,44.1199,44.038,84
120.3989,27.93833,2.26,56,44.1265,44.038,136
113.459,28.46907,2.26,97,44.2094,44.038,51
123.4131,26.96648,2.26,70,44.1368,44.038,213
122.4718,32.92658,2.26,97,44.1843,44.038,114
122.4718,33.99557,2.26,67,44.2052,44.038,114
122.4718,33.2747,2.26,92,44.2316,44.038,114
118.6246,36.12208,2.26,68,44.0793,44.038,84
118.0621,26.73757,2.27,90,44.142,44.038,113
117.3559,33.92876,2.27,69,44.0205,44.038,111
113.8203,26.8527,2.27,85,44.2109,44.038,82
111.6383,34.00016,2.27,93,44.0807,44.038,92
115.5745,28.61719,2.27,81,44.1805,44.038,151
115.917,33.84483,2.27,69,44.0999,44.038,119
123.6253,33.70531,2.27,80,44.0942,44.038,193
126.2628,27.07765,2.27,67,44.0922,44.038,150
128.3365,31.41251,2.27,86,44.1418,44.618,147
128.3365,34.97116,2.27,66,44.0938,44.618,147
123.9028,27.7919,2.27,82,44.104,44.618,84
119.9125,27.95234,2.28,68,44.1019,44.618,84
123.0213,27.59229,2.28,86,44.0254,44.618,151
125.6192,34.30864,2.28,68,44.0533,44.618,149
121.3572,34.78078,2.28,80,44.0557,44.618,83
124.3215,26.82405,2.28,67,44.0636,44.618,151
126.5894,28.30769,2.28,56,44.1317,44.618,147
136.1304,27.16761,2.28,93,44.0397,44.618,222
134.0174,33.8673,2.28,68,44.038,44.618,115
138.6156,27.63785,2.28,90,44.0649,44.618,180
146.4541,31.34985,2.28,73,44.1982,44.618,217
152.4087,28.36857,2.28,96,44.1314,44.618,206
148.6678,32.21353,2.29,67,44.1451,44.618,115
