RTT,FPS,CPU,GPU,Memory,BatteryWatt,Jitter
60,26.21308,0,0,0,0,60
71.6,24.66937,3.19,86,67.5445,27.69,176
74.74,24.91252,3.19,77,67.4699,27.69,103
76.866,41.94427,3.19,82,67.3751,27.69,96
78.97939,24.10217,3.19,81,67.4142,27.69,98
80.98145,25.36556,3.19,79,67.4172,27.69,99
82.88331,44.85983,3.19,78,67.5498,27.69,100
84.29498,25.0246,3.19,88,67.6325,27.69,97
85.56548,24.56854,3.19,80,67.6008,27.69,97
86.90893,25.00411,3.19,80,67.5471,27.69,99
88.11803,24.99576,3.19,87,67.5334,27.69,99
85.00623,43.82979,3.2,76,67.6656,27.69,57
82.0056,42.43371,3.2,88,67.7137,27.69,55
83.80504,24.18047,3.2,78,67.6139,27.69,100
81.02454,25.25532,3.2,77,67.6286,27.69,56
82.92208,24.89263,3.2,79,67.6616,27.69,100
84.72987,24.66693,3.2,85,67.7057,27.69,101
81.75688,24.85728,3.2,78,67.7023,27.69,55
83.58119,24.94405,3.2,79,67.7087,27.69,100
85.22307,25.42145,3.2,85,67.6911,27.69,100
82.30076,41.85324,3.2,78,67.6617,27.69,56
83.97068,25.49094,3.2,80,67.6527,27.69,99
85.57361,24.94435,3.2,87,67.7084,27.69,100
82.51624,40.85401,3.2,79,67.6687,27.69,55
84.26462,41.84429,3.2,79,67.5642,35.161,100
85.83816,43.68238,3.2,78,67.5175,35.161,100
87.15434,40.80882,3.2,78,67.414,35.161,99
83.9389,24.99975,3.2,80,67.4879,35.161,55
85.34501,25.10042,3.2,89,67.4412,35.161,98
82.41051,24.71062,3.2,79,67.5557,35.161,56
84.06946,24.75938,3.2,81,67.3678,35.161,99
85.36251,24.7605,3.2,88,67.3618,35.161,97
86.82626,41.53432,3.2,76,67.3225,30.494,100
88.14363,25.63955,3.2,78,67.5261,30.494,100
87.12926,24.38318,3.2,87,67.3671,30.494,78
88.21634,43.58513,3.2,79,67.3854,30.494,98
89.1947,24.84108,3.2,80,67.4564,30.494,98
90.17523,24.4407,3.21,88,67.4205,30.494,99
86.75771,42.27906,3.21,77,67.3843,30.494,56
88.08193,43.24,3.21,79,67.3687,30.494,100
89.17374,44.4068,3.21,88,67.3974,30.494,99
89.85636,42.43934,3.21,81,67.2938,30.494,96
90.47073,42.59775,3.21,82,67.4066,30.494,96
91.12365,44.23203,3.21,80,67.5076,30.494,97
91.71128,25.55485,3.21,80,67.3163,30.494,97
92.34015,29.43377,3.21,80,67.1734,30.494,98
93.00613,43.15163,3.21,84,67.1854,30.494,99
93.70552,25.43389,3.21,78,67.2475,30.494,100
89.93497,42.34077,3.21,80,67.1528,30.494,56
90.84147,41.32766,3.21,81,67.1359,30.494,99
91.65732,43.72708,3.21,78,67.2616,30.494,99
88.19158,24.47156,3.21,81,67.1391,30.494,57
89.27242,25.26406,3.21,78,67.1795,30.494,99
86.24518,24.80536,3.21,77,67.1436,30.494,59
87.52066,24.64281,3.21,87,67.1983,30.494,99
88.66859,42.76854,3.21,77,67.0968,30.494,99
85.30173,25.45002,3.21,80,67.0368,30.494,55
84.87156,24.89179,3.21,78,67.0691,30.494,81
86.2844,25.07806,3.21,79,67.0391,30.494,99
87.55596,42.96185,3.21,89,66.9804,30.494,99
84.40036,24.7863,3.21,76,67.078,30.494,56
85.86032,42.79356,3.21,78,67.228,31.929,99
87.27428,42.09863,3.21,88,67.1904,31.929,100
84.04685,43.35492,3.22,77,67.0268,31.929,55
85.54217,41.85096,3.22,80,67.178,31.929,99
86.98795,40.77258,3.22,88,67.1138,31.929,100
83.88915,24.89019,3.22,78,67.2052,31.929,56
85.40024,42.10131,3.22,77,67.1774,33.772,99
86.66021,25.57216,3.22,88,67.216,33.772,98
83.69418,41.99471,3.22,77,67.0994,33.772,57
85.32476,24.31473,3.22,78,67.0712,33.772,100
82.39228,42.11552,3.22,79,67.1487,33.772,56
83.95305,43.76447,3.22,85,67.1225,33.772,98
85.45774,43.63546,3.22,77,67.1185,33.772,99
86.81197,25.31443,3.22,79,67.1271,33.772,99
88.13077,24.80785,3.22,88,67.2059,33.772,100
89.21769,24.13174,3.22,78,67.2655,33.772,99
90.19592,24.84505,3.22,78,67.1182,33.772,99
91.07632,41.03209,3.22,88,67.2107,33.772,99
