RTT,FPS,CPU,GPU,Memory,BatteryWatt,Jitter
60,30.80009,20,40,50,22,60
72.1,30.12426,7.42,57,70.0773,33.415,181
72.78999,24.41538,7.42,78,70.2367,33.415,79
74.71099,30.31193,7.42,86,70.3569,33.415,92
75.53989,30.13076,7.43,72,70.0473,33.415,83
75.88589,31.03633,7.43,53,69.8655,33.415,79
76.59731,23.36115,7.44,69,69.716,33.415,83
77.13757,30.23064,7.44,55,69.7306,33.415,82
77.62382,41.84257,7.44,66,69.7754,33.415,82
79.56143,27.87132,7.44,83,69.8748,33.415,97
79.90529,30.06786,7.44,70,69.7824,33.415,83
80.01476,28.21225,7.45,50,69.7411,33.415,81
80.01328,30.65035,7.45,67,69.6748,33.415,80
80.01195,32.7153,7.45,49,69.5271,33.415,80
80.31075,28.30817,7.45,62,69.4947,33.415,83
80.37968,30.16186,7.45,56,69.5282,33.415,81
83.64171,29.89165,7.46,60,69.6248,33.415,113
86.37753,28.49179,7.46,51,69.688,33.415,111
82.53978,27.78458,7.46,58,69.7178,33.415,48
79.1858,30.09699,7.47,51,69.6458,33.415,49
76.16721,30.06754,7.46,54,69.7446,33.415,49
73.45049,29.9353,7.47,51,69.5536,33.415,49
71.00544,40.6383,7.47,54,69.5859,33.415,49
73.6049,29.9597,7.47,84,69.5801,33.415,97
71.24441,30.4899,7.48,54,69.5634,33.415,50
69.11996,28.42911,7.48,49,69.6167,33.415,50
67.00797,40.16713,7.48,55,69.5291,33.415,48
66.00716,29.71963,7.48,85,69.6119,51.569,57
64.40645,41.63478,7.48,55,69.5565,51.569,50
63.1658,30.35359,7.49,84,69.5336,51.569,52
61.84922,29.25722,7.49,57,69.6014,51.569,50
60.6643,31.97652,7.49,50,69.6777,51.569,50
59.59787,28.02331,7.49,58,69.7071,51.569,50
58.63808,41.84949,7.49,50,69.7067,51.569,50
57.47427,31.06999,7.5,85,69.6591,51.569,47
56.62684,39.99839,7.5,52,69.7164,51.569,49
56.06415,30.12657,7.5,82,69.5181,51.569,51
55.45774,23.92647,7.5,50,69.5527,51.569,50
55.11196,31.0459,7.5,83,69.7371,51.569,52
54.60077,30.43217,7.5,47,69.8074,51.569,50
53.94069,28.47428,7.5,56,69.7617,51.569,48
53.44662,29.71462,7.51,48,69.7648,51.569,49
53.00195,24.49261,7.51,55,69.6116,51.569,49
53.00175,29.55077,7.51,83,69.6916,40.357,53
52.50158,30.33618,7.51,56,69.7836,40.357,48
55.35142,30.41431,7.51,53,69.8131,40.357,81
54.81628,30.42139,7.52,56,69.7836,40.357,50
54.43465,30.22666,7.52,49,69.7817,40.357,51
57.29118,24.98939,7.52,56,69.6562,40.357,83
56.86206,30.22224,7.52,84,69.8997,40.357,53
59.37585,30.39056,7.53,56,69.8901,40.357,82
61.93827,29.5723,7.53,46,69.873,40.357,85
63.84444,30.22352,7.53,56,69.7984,40.357,81
65.75999,24.76075,7.53,52,69.7019,40.357,83
64.58399,30.10803,7.53,82,69.7616,40.357,54
66.6256,30.27288,7.53,46,69.7843,40.357,85
68.16303,30.25402,7.53,56,69.7835,40.357,82
69.74673,30.36956,7.54,43,69.66,40.357,84
72.47205,31.26531,7.54,54,69.7928,40.357,97
73.62485,30.33519,7.54,47,69.6673,40.357,84
73.96236,24.84261,7.54,55,69.6128,40.357,77
76.36613,23.84493,7.54,82,69.7219,40.357,98
75.92951,30.30037,7.54,85,69.8271,40.357,72
76.53656,40.61616,7.54,51,69.8312,40.357,83
78.3829,30.22423,7.54,87,69.8974,40.357,95
78.84461,28.23332,7.54,51,69.9231,40.357,83
79.36015,27.94396,7.54,82,69.8355,40.357,84
79.62413,23.81048,7.55,52,69.8394,40.357,82
81.26172,24.20696,7.55,90,69.6824,40.357,96
82.83555,43.1849,7.55,82,69.8043,40.357,97
84.45199,30.12536,7.55,90,69.7992,40.357,99
84.00679,32.94734,7.55,53,69.7705,40.357,80
83.90611,29.15987,7.55,81,69.8361,31.766,83
83.6155,27.31841,7.56,52,69.8814,31.766,81
84.35395,30.44107,7.56,83,69.9469,31.766,91
84.21855,30.23725,7.56,49,69.8245,31.766,83
87.19669,27.77131,7.56,79,69.6342,31.766,114
89.97702,30.16464,7.57,50,69.6072,31.766,115
92.57932,41.84774,7.57,76,69.5527,31.766,116
88.52139,39.03756,7.57,82,69.6599,31.766,52
